binary_id,cpu_usage,memory_usage,is_anomaly,is_actual_anomaly
bin_001,95,85,True,True
bin_002,78,90,True,False
bin_003,60,60,False,True
bin_004,45,30,False,False
bin_005,88,91,True,True
File,Architecture,Path
glxheads.x86_64-linux-gnu,64-bit,"/usr/bin/glxheads.x86_64-linux-gnu"
aseqdump,64-bit,"/usr/bin/aseqdump"
seq,64-bit,"/usr/bin/seq"
dig,64-bit,"/usr/bin/dig"
gnome-power-statistics,64-bit,"/usr/bin/gnome-power-statistics"
atopsar,Unknown,"/usr/bin/atopsar"
mousetweaks,64-bit,"/usr/bin/mousetweaks"
gipddecode,64-bit,"/usr/bin/gipddecode"
memfd-bind,64-bit,"/usr/bin/memfd-bind"
pdfunite,64-bit,"/usr/bin/pdfunite"
xcalc,64-bit,"/usr/bin/xcalc"
lckdo,64-bit,"/usr/bin/lckdo"
gtester,64-bit,"/usr/bin/gtester"
foo2qpdl-wrapper,Unknown,"/usr/bin/foo2qpdl-wrapper"
purge-old-kernels,Unknown,"/usr/bin/purge-old-kernels"
ubuntu-advantage,Unknown,"/usr/bin/ubuntu-advantage"
POST,Unknown,"/usr/bin/POST"
apt-mark,64-bit,"/usr/bin/apt-mark"
xorriso,64-bit,"/usr/bin/xorriso"
gtk-update-icon-cache,64-bit,"/usr/bin/gtk-update-icon-cache"
pcre2-config,Unknown,"/usr/bin/pcre2-config"
lesspipe,Unknown,"/usr/bin/lesspipe"
ldapmodrdn,64-bit,"/usr/bin/ldapmodrdn"
base64,64-bit,"/usr/bin/base64"
pipewire-avb,Unknown,"/usr/bin/pipewire-avb"
xdpyinfo,64-bit,"/usr/bin/xdpyinfo"
loadunimap,64-bit,"/usr/bin/loadunimap"
mscompress,64-bit,"/usr/bin/mscompress"
tree,64-bit,"/usr/bin/tree"
x86_64-linux-gnu-gp-display-text,64-bit,"/usr/bin/x86_64-linux-gnu-gp-display-text"
xwud,64-bit,"/usr/bin/xwud"
write,64-bit,"/usr/bin/write"
glxinfo,Unknown,"/usr/bin/glxinfo"
xargs,64-bit,"/usr/bin/xargs"
vigpg,Unknown,"/usr/bin/vigpg"
zstdcat,Unknown,"/usr/bin/zstdcat"
tracker3-status,64-bit,"/usr/bin/tracker3-status"
gtk-encode-symbolic-svg,64-bit,"/usr/bin/gtk-encode-symbolic-svg"
ntfs-3g.probe,64-bit,"/usr/bin/ntfs-3g.probe"
sg,Unknown,"/usr/bin/sg"
zenity,64-bit,"/usr/bin/zenity"
pip3.12,Unknown,"/usr/bin/pip3.12"
apt-sortpkgs,64-bit,"/usr/bin/apt-sortpkgs"
jsonpatch,Unknown,"/usr/bin/jsonpatch"
tracker3-export,64-bit,"/usr/bin/tracker3-export"
icuinfo,64-bit,"/usr/bin/icuinfo"
hp-doctor,Unknown,"/usr/bin/hp-doctor"
byobu-select-backend,Unknown,"/usr/bin/byobu-select-backend"
delv,64-bit,"/usr/bin/delv"
alsaucm,64-bit,"/usr/bin/alsaucm"
hp-query,Unknown,"/usr/bin/hp-query"
winepath-stable,Unknown,"/usr/bin/winepath-stable"
gdm-screenshot,64-bit,"/usr/bin/gdm-screenshot"
containerd-shim-runc-v1,64-bit,"/usr/bin/containerd-shim-runc-v1"
ibus-setup,Unknown,"/usr/bin/ibus-setup"
ptx,64-bit,"/usr/bin/ptx"
byobu-launcher-uninstall,Unknown,"/usr/bin/byobu-launcher-uninstall"
x86_64-linux-gnu-c++filt,64-bit,"/usr/bin/x86_64-linux-gnu-c++filt"
addpart,64-bit,"/usr/bin/addpart"
sqfscat,Unknown,"/usr/bin/sqfscat"
dbus-uuidgen,64-bit,"/usr/bin/dbus-uuidgen"
which.debianutils,Unknown,"/usr/bin/which.debianutils"
x86_64-linux-gnu-gp-display-src,64-bit,"/usr/bin/x86_64-linux-gnu-gp-display-src"
gnome-thumbnail-font,64-bit,"/usr/bin/gnome-thumbnail-font"
migrate-pubring-from-classic-gpg,Unknown,"/usr/bin/migrate-pubring-from-classic-gpg"
updatedb,Unknown,"/usr/bin/updatedb"
ntfsls,64-bit,"/usr/bin/ntfsls"
xmodmap,64-bit,"/usr/bin/xmodmap"
tracker3-endpoint,64-bit,"/usr/bin/tracker3-endpoint"
tracker3-reset,64-bit,"/usr/bin/tracker3-reset"
totem,64-bit,"/usr/bin/totem"
unicode_start,Unknown,"/usr/bin/unicode_start"
x86_64-linux-gnu-lto-dump-13,64-bit,"/usr/bin/x86_64-linux-gnu-lto-dump-13"
gdk-pixbuf-pixdata,64-bit,"/usr/bin/gdk-pixbuf-pixdata"
tail,64-bit,"/usr/bin/tail"
setfont,64-bit,"/usr/bin/setfont"
ps2pdf,Unknown,"/usr/bin/ps2pdf"
glxheads,Unknown,"/usr/bin/glxheads"
cancel,64-bit,"/usr/bin/cancel"
pod2html,Unknown,"/usr/bin/pod2html"
c++,Unknown,"/usr/bin/c++"
xkbvleds,64-bit,"/usr/bin/xkbvleds"
systemd-tmpfiles,64-bit,"/usr/bin/systemd-tmpfiles"
google-chrome-stable,Unknown,"/usr/bin/google-chrome-stable"
apropos,Unknown,"/usr/bin/apropos"
xkill,64-bit,"/usr/bin/xkill"
